speed,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
type,x,y,w,h,img,f,,,,,,,,,
platform,100,-2450,200,100,platform.png,8,,,,,,,,,
platform,100,-2000,300,100,platform.png,8,,,,,,,,,
platform,0,-1800,200,100,platform.png,8,,,,,,,,,
platform,100,-1600,200,100,platform.png,8,,,,,,,,,
platform,100,-1320,200,100,platform.png,8,,,,,,,,,
platform,250,-1100,200,100,platform.png,8,,,,,,,,,
platform,0,-900,200,100,platform.png,8,,,,,,,,,
platform,100,-420,200,100,platform.png,8,,,,,,,,,
platform,100,-50,300,100,platform.png,8,,,,,,,,,
platform,100,300,200,100,platform.png,8,,,,,,,,,
platform,100,550,300,100,platform.png,8,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
platform,490,-2650,300,100,platform.png,8,,,,,,,,,
platform,450,-2280,350,100,platform.png,8,,,,,,,,,
platform,500,-1780,250,100,platform.png,8,,,,,,,,,
platform,500,-1500,200,100,platform.png,8,,,,,,,,,
platform,420,-800,350,100,platform.png,8,,,,,,,,,
platform,500,-420,250,100,platform.png,8,,,,,,,,,
platform,500,-200,200,100,platform.png,8,,,,,,,,,
platform,450,80,200,100,platform.png,8,,,,,,,,,
platform,420,400,350,100,platform.png,8,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
platform,900,-2450,200,100,platform.png,8,,,,,,,,,
platform,800,-2000,300,100,platform.png,8,,,,,,,,,
platform,900,-1600,300,100,platform.png,8,,,,,,,,,
platform,800,-1300,350,100,platform.png,8,,,,,,,,,
platform,900,-950,200,100,platform.png,8,,,,,,,,,
platform,900,-690,200,100,platform.png,8,,,,,,,,,
platform,900,-420,300,100,platform.png,8,,,,,,,,,
platform,900,-100,200,100,platform.png,8,,,,,,,,,
platform,900,300,200,100,platform.png,8,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
type,x,y,r,g,img,w,h,f,x1,y1,x2,y2,speed x,speed y,lives
germ,900,-2500,35,0,0,70,70,40,800,-2500,1000,-2500,1.5,0,1
germ,100,-2500,35,0,0,70,70,40,50,-2450,200,-2450,1,0,1
germ,500,-2320,35,0,0,70,70,40,500,-2280,700,-2280,2,0,1
germ,900,-2050,35,0,0,70,70,40,900,-2050,1100,-2050,1.5,0,1
germ,50,-2050,35,0,0,70,70,40,50,-2050,200,-2050,1,0,1
germ,100,-1650,35,0,0,70,70,40,100,-1650,300,-1650,1.5,0,1
germ,420,-1560,35,0,0,70,70,40,350,-1560,600,-1560,1,0,1
germ,900,-1350,35,0,0,70,70,40,800,-1350,1200,-1350,2,0,1
germ,100,-960,35,0,0,70,70,40,100,-990,300,-990,1.5,0,1
germ,500,-850,35,0,0,70,70,40,400,-880,800,-880,2,0,1
germ,100,-530,35,0,0,70,70,40,80,-530,300,-530,1,0,1
germ,900,-470,35,0,0,70,70,40,900,-470,1200,-470,1.5,0,1
germ,500,-460,35,0,0,70,70,40,500,-460,700,-460,2,0,1
germ,900,-150,35,0,0,70,70,40,900,-200,1100,-200,1,0,1
germ,100,-100,35,0,0,70,70,40,100,-100,300,-100,1.5,0,1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
type,x,y,r,g,img,w,h,f,,,,,,,
antidotes,600,-2300,35,0,antidote.png,70,70,70,,,,,,,
antidotes,100,-2050,35,0,antidote.png,70,70,70,,,,,,,
antidotes,950,-2050,35,0,antidote.png,70,70,70,,,,,,,
antidotes,50,-1820,35,0,antidote.png,70,70,70,,,,,,,
antidotes,150,-1620,35,0,antidote.png,70,70,70,,,,,,,
antidotes,1100,-1370,35,0,antidote.png,70,70,70,,,,,,,
antidotes,120,-1370,35,0,antidote.png,70,70,70,,,,,,,
antidotes,1000,-970,35,0,antidote.png,70,70,70,,,,,,,
antidotes,150,-460,35,0,antidote.png,70,70,70,,,,,,,
antidotes,1000,250,35,0,antidote.png,70,70,70,,,,,,,
antidotes,700,350,35,0,antidote.png,70,70,70,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
type,x,y,r,g,img,w,h,f,,,,,,,
checkpoint,620,-2700,60,0,checkpoint.png,120,120,1,,,,,,,
