speed,1.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
type,x,y,w,h,img,f,,,,,,,,,
platform,900,-2450,200,100,platform.png,8,,,,,,,,,
platform,900,-2000,300,100,platform.png,8,,,,,,,,,
platform,1000,-1800,200,100,platform.png,8,,,,,,,,,
platform,900,-1600,200,100,platform.png,8,,,,,,,,,
platform,900,-1320,200,100,platform.png,8,,,,,,,,,
platform,800,-1100,200,100,platform.png,8,,,,,,,,,
platform,1000,-900,200,100,platform.png,8,,,,,,,,,
platform,900,-420,200,100,platform.png,8,,,,,,,,,
platform,900,-50,300,100,platform.png,8,,,,,,,,,
platform,900,300,200,100,platform.png,8,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
platform,490,-2650,300,100,platform.png,8,,,,,,,,,
platform,450,-2280,350,100,platform.png,8,,,,,,,,,
platform,500,-1770,250,100,platform.png,8,,,,,,,,,
platform,500,-1500,200,100,platform.png,8,,,,,,,,,
platform,420,-800,350,100,platform.png,8,,,,,,,,,
platform,500,-420,250,100,platform.png,8,,,,,,,,,
platform,500,-200,200,100,platform.png,8,,,,,,,,,
platform,450,80,200,100,platform.png,8,,,,,,,,,
platform,420,400,350,100,platform.png,8,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
platform,100,-2450,200,100,platform.png,8,,,,,,,,,
platform,80,-2000,300,100,platform.png,8,,,,,,,,,
platform,100,-1600,300,100,platform.png,8,,,,,,,,,
platform,100,-1300,350,100,platform.png,8,,,,,,,,,
platform,100,-950,350,100,platform.png,8,,,,,,,,,
platform,100,-690,200,100,platform.png,8,,,,,,,,,
platform,100,-420,300,100,platform.png,8,,,,,,,,,
platform,100,-100,200,100,platform.png,8,,,,,,,,,
platform,100,300,200,100,platform.png,8,,,,,,,,,
platform,100,550,300,100,platform.png,8,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
type,x,y,r,g,img,w,h,f,x1,y1,x2,y2,speed x,speed y,lives
germ,100,-2500,35,0,0,70,70,40,100,-2500,300,-2500,1.5,0,1
germ,900,-2500,35,0,0,70,70,40,900,-2450,1050,-2450,1,0,1
germ,500,-2320,35,0,0,70,70,40,500,-2280,700,-2280,2,0,1
germ,100,-2050,35,0,0,70,70,40,100,-2050,300,-2050,1.5,0,1
germ,850,-2050,35,0,0,70,70,40,850,-2050,1000,-2050,1,0,1
germ,900,-1650,35,0,0,70,70,40,900,-1650,1100,-1650,1.5,0,1
germ,420,-1560,35,0,0,70,70,40,420,-1560,600,-1560,1,0,1
germ,100,-1350,35,0,0,70,70,40,100,-1350,600,-1350,2,0,1
germ,900,-970,35,0,0,70,70,40,900,-990,1100,-990,1.5,0,1
germ,500,-850,35,0,0,70,70,40,500,-880,900,-880,2,0,1
germ,900,-530,35,0,0,70,70,40,900,-530,1100,-530,1,0,1
germ,100,-470,35,0,0,70,70,40,100,-470,400,-470,1.5,0,1
germ,500,-460,35,0,0,70,70,40,500,-460,700,-460,2,0,1
germ,100,-150,35,0,0,70,70,40,100,-200,300,-200,1,0,1
germ,900,-100,35,0,0,70,70,40,900,-100,1100,-100,1.5,0,1
,,,,,,,,,,,,,,,
germ,100,-2500,35,0,1,70,70,40,0,-2600,300,-2300,1.5,2,2
germ,900,-2500,35,0,1,70,70,40,600,-2600,1000,-2300,1,2,2
germ,500,-1720,35,0,1,70,70,40,400,-2000,700,-1600,2,2,2
germ,600,-1250,35,0,1,70,70,40,500,-1350,700,-900,1,1,2
germ,500,-850,35,0,1,70,70,40,400,-900,1000,-700,1.5,1.5,2
germ,600,-150,35,0,1,90,90,40,550,-200,700,200,2,1,2
germ,900,0,35,0,1,90,90,40,700,-150,1280,150,1,2.1,2
,,,,,,,,,,,,,,,
germ,0,-2500,35,0,2,70,70,1,0,-2500,1300,-2500,5,0,1
germ,0,-2320,35,0,2,70,70,1,0,-2320,1300,-2320,5,0,1
germ,0,-800,35,0,2,70,70,1,0,-800,1300,-800,5,0,1
germ,0,100,35,0,2,90,90,1,0,100,1300,100,5,0,1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
type,x,y,r,g,img,w,h,f,,,,,,,
antidotes,600,-2300,35,0,antidote.png,70,70,70,,,,,,,
antidotes,900,-2050,35,0,antidote.png,70,70,70,,,,,,,
antidotes,150,-2050,35,0,antidote.png,70,70,70,,,,,,,
antidotes,550,-1820,35,0,antidote.png,70,70,70,,,,,,,
antidotes,950,-1620,35,0,antidote.png,70,70,70,,,,,,,
antidotes,300,-1370,35,0,antidote.png,70,70,70,,,,,,,
antidotes,920,-1370,35,0,antidote.png,70,70,70,,,,,,,
antidotes,150,-970,35,0,antidote.png,70,70,70,,,,,,,
antidotes,950,-460,35,0,antidote.png,70,70,70,,,,,,,
antidotes,900,250,35,0,antidote.png,70,70,70,,,,,,,
antidotes,250,250,35,0,antidote.png,70,70,70,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
type,x,y,r,g,img,w,h,f,,,,,,,
checkpoint,640,-2700,60,0,checkpoint.png,120,120,1,,,,,,,
